Account,Businees Unit,Currency,Year,Scenario,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sales,Software,USD,2012,Actuals,"$90,924,002 ","$82,606,134 ","$72,780,220 ","$52,943,701 ","$77,528,109 ","$96,384,524 ","$77,345,061 ","$98,290,873 ","$79,879,127 ","$95,373,403 ","$54,887,908 ","$82,703,597 "
Cost of Goods Sold,Software,USD,2012,Actuals,"($41,623,278)","($40,464,347)","($30,806,326)","($21,412,962)","($37,047,252)","($44,819,597)","($34,847,393)","($47,903,350)","($35,880,653)","($44,982,115)","($26,929,424)","($34,233,473)"
Commissions Expense,Software,USD,2012,Actuals,"($4,454,359)","($3,386,032)","($3,389,705)","($2,149,257)","($3,168,079)","($4,417,624)","($3,386,461)","($4,052,846)","($3,418,737)","($4,365,527)","($2,455,561)","($3,646,726)"
Payroll Expense,Software,USD,2012,Actuals,"($9,901,680)","($9,871,172)","($8,459,696)","($6,303,408)","($8,493,573)","($11,082,494)","($8,081,033)","($11,070,018)","($8,410,665)","($10,081,727)","($6,300,578)","($9,099,438)"
Travel & Entertainment Expense,Software,USD,2012,Actuals,"($951,255)","($838,985)","($872,700)","($624,416)","($919,835)","($1,085,296)","($818,602)","($1,040,585)","($803,190)","($1,158,623)","($611,335)","($941,542)"
R&D Expense,Software,USD,2012,Actuals,"($4,094,116)","($3,599,297)","($3,213,050)","($2,466,394)","($3,350,416)","($3,973,250)","($3,752,045)","($4,170,217)","($3,524,451)","($4,281,007)","($2,727,155)","($3,711,633)"
Consulting Expense,Software,USD,2012,Actuals,"($5,261,471)","($4,215,309)","($3,781,799)","($2,788,120)","($4,656,777)","($5,399,647)","($4,448,901)","($5,654,825)","($4,598,250)","($5,505,410)","($2,908,553)","($4,664,773)"
Software/Hardware Expense,Software,USD,2012,Actuals,"($7,549,491)","($6,744,180)","($5,424,173)","($3,818,856)","($5,935,455)","($7,685,036)","($6,661,232)","($8,035,238)","($6,167,182)","($8,233,098)","($4,016,737)","($6,547,629)"
Marketing Expense,Software,USD,2012,Actuals,"($1,865,763)","($2,004,386)","($1,667,521)","($1,103,735)","($1,617,994)","($2,316,878)","($1,579,791)","($2,223,673)","($1,869,698)","($2,043,854)","($1,365,202)","($1,696,008)"
Sales,Advertising,USD,2012,Actuals,"$20,003,280 ","$24,781,840 ","$15,283,846 ","$15,883,110 ","$19,382,027 ","$22,168,441 ","$18,562,815 ","$29,487,262 ","$23,164,947 ","$27,658,287 ","$14,819,735 ","$18,194,791 "
Cost of Goods Sold,Advertising,USD,2012,Actuals,"($9,353,324)","($11,513,937)","($6,166,965)","($7,501,106)","($8,496,461)","($9,798,685)","($8,555,070)","($14,039,373)","($11,551,839)","($13,628,227)","($7,257,645)","($9,083,320)"
Commissions Expense,Advertising,USD,2012,Actuals,"($941,821)","($1,002,323)","($746,736)","($764,074)","($808,144)","($1,061,422)","($808,354)","($1,421,840)","($950,267)","($1,278,394)","($675,574)","($772,637)"
Payroll Expense,Advertising,USD,2012,Actuals,"($2,496,366)","($2,697,904)","($1,679,239)","($1,918,713)","($2,215,557)","($2,480,892)","($2,182,363)","($3,410,389)","($2,427,536)","($3,305,300)","($1,808,374)","($2,032,444)"
Travel & Entertainment Expense,Advertising,USD,2012,Actuals,"($212,638)","($297,458)","($167,930)","($194,736)","($235,827)","($260,283)","($221,103)","($348,081)","($260,895)","($321,588)","($172,652)","($185,865)"
R&D Expense,Advertising,USD,2012,Actuals,"($977,169)","($1,029,549)","($674,412)","($792,920)","($900,465)","($993,534)","($884,213)","($1,430,413)","($1,146,956)","($1,115,640)","($638,663)","($822,644)"
Consulting Expense,Advertising,USD,2012,Actuals,"($1,176,605)","($1,291,439)","($934,063)","($937,518)","($1,139,418)","($1,356,373)","($1,140,096)","($1,606,577)","($1,429,418)","($1,399,794)","($752,770)","($1,078,181)"
Software/Hardware Expense,Advertising,USD,2012,Actuals,"($1,729,022)","($2,125,980)","($1,266,805)","($1,181,160)","($1,678,429)","($1,922,968)","($1,563,338)","($2,266,251)","($1,651,944)","($2,138,006)","($1,069,556)","($1,550,361)"
Marketing Expense,Advertising,USD,2012,Actuals,"($477,650)","($500,810)","($350,137)","($390,161)","($444,748)","($502,205)","($401,191)","($701,616)","($517,674)","($616,922)","($308,776)","($393,674)"
Sales,Hardware,USD,2012,Actuals,"$32,732,641 ","$30,564,270 ","$26,200,879 ","$19,589,169 ","$29,460,681 ","$36,626,119 ","$23,976,969 ","$34,401,806 ","$29,555,277 ","$31,473,223 ","$17,015,251 ","$31,427,367 "
Cost of Goods Sold,Hardware,USD,2012,Actuals,"($15,174,996)","($13,026,257)","($11,675,693)","($8,655,251)","($12,015,866)","($15,700,152)","($9,675,687)","($16,111,034)","($12,007,211)","($15,679,125)","($7,771,569)","($15,258,373)"
Commissions Expense,Hardware,USD,2012,Actuals,"($1,365,874)","($1,359,525)","($1,296,743)","($900,105)","($1,331,847)","($1,564,129)","($1,063,724)","($1,612,959)","($1,338,743)","($1,378,721)","($751,229)","($1,417,137)"
Payroll Expense,Hardware,USD,2012,Actuals,"($3,625,840)","($3,423,587)","($2,865,530)","($2,430,054)","($3,605,303)","($4,252,053)","($2,644,538)","($4,099,242)","($3,376,769)","($3,479,104)","($2,018,487)","($3,638,336)"
Travel & Entertainment Expense,Hardware,USD,2012,Actuals,"($404,102)","($338,689)","($289,410)","($231,627)","($322,868)","($401,363)","($253,582)","($412,988)","($347,606)","($391,065)","($171,970)","($374,266)"
R&D Expense,Hardware,USD,2012,Actuals,"($1,468,035)","($1,483,124)","($1,094,520)","($937,432)","($1,284,439)","($1,598,284)","($1,152,053)","($1,525,329)","($1,197,635)","($1,277,358)","($816,086)","($1,391,966)"
Consulting Expense,Hardware,USD,2012,Actuals,"($1,854,144)","($1,664,382)","($1,580,339)","($1,211,392)","($1,625,464)","($2,017,618)","($1,472,986)","($2,012,637)","($1,767,868)","($1,608,184)","($917,113)","($1,651,075)"
Software/Hardware Expense,Hardware,USD,2012,Actuals,"($2,454,740)","($2,246,414)","($1,920,131)","($1,538,618)","($2,459,096)","($2,690,767)","($1,781,975)","($2,592,510)","($2,077,955)","($2,418,669)","($1,334,326)","($2,275,474)"
Marketing Expense,Hardware,USD,2012,Actuals,"($713,163)","($741,500)","($638,160)","($461,044)","($641,726)","($906,407)","($538,307)","($792,272)","($631,951)","($774,552)","($424,464)","($689,907)"
Sales,Software,USD,2013,Actuals,"$62,935,397 ","$53,925,189 ","$89,800,765 ","$73,182,364 ","$88,898,687 ","$56,531,656 ","$81,928,853 ","$83,883,692 ","$90,835,513 ","$84,696,571 ","$85,024,906 ","$53,288,399 "
Cost of Goods Sold,Software,USD,2013,Actuals,"($26,494,815)","($22,903,069)","($40,456,195)","($34,006,729)","($42,423,953)","($27,409,059)","($33,775,125)","($36,687,036)","($41,042,906)","($39,247,829)","($36,978,094)","($21,932,570)"
Commissions Expense,Software,USD,2013,Actuals,"($2,701,354)","($2,292,513)","($4,003,886)","($3,480,213)","($3,751,958)","($2,276,949)","($3,831,128)","($4,053,567)","($3,723,927)","($3,646,419)","($3,875,350)","($2,193,320)"
Payroll Expense,Software,USD,2013,Actuals,"($6,903,529)","($6,040,881)","($8,999,879)","($8,859,167)","($10,315,340)","($7,009,597)","($9,729,627)","($9,388,096)","($9,421,268)","($9,764,483)","($10,104,336)","($6,025,217)"
Travel & Entertainment Expense,Software,USD,2013,Actuals,"($742,125)","($668,336)","($1,090,282)","($779,994)","($1,061,114)","($574,730)","($914,148)","($937,664)","($1,118,700)","($991,515)","($891,952)","($622,578)"
R&D Expense,Software,USD,2013,Actuals,"($3,004,974)","($2,247,412)","($4,038,201)","($3,194,257)","($3,781,884)","($2,691,195)","($3,732,122)","($3,946,945)","($3,769,268)","($3,631,690)","($3,939,592)","($2,301,656)"
Consulting Expense,Software,USD,2013,Actuals,"($3,635,465)","($3,045,416)","($4,995,746)","($4,388,934)","($4,835,074)","($3,428,760)","($5,056,752)","($4,859,658)","($5,233,669)","($5,103,815)","($4,679,973)","($2,916,323)"
Software/Hardware Expense,Software,USD,2013,Actuals,"($4,463,301)","($4,126,173)","($7,142,092)","($5,237,047)","($7,122,613)","($4,230,019)","($6,296,385)","($6,393,165)","($7,603,663)","($6,983,409)","($6,504,510)","($4,278,920)"
Marketing Expense,Software,USD,2013,Actuals,"($1,338,399)","($1,226,506)","($1,878,316)","($1,692,980)","($1,813,241)","($1,153,027)","($1,971,506)","($1,867,620)","($2,234,011)","($1,784,085)","($1,901,804)","($1,094,887)"
Sales,Advertising,USD,2013,Actuals,"$15,104,495 ","$15,638,305 ","$26,940,230 ","$18,295,591 ","$24,002,645 ","$11,871,648 ","$23,759,367 ","$23,487,434 ","$20,892,168 ","$25,408,971 ","$17,004,981 ","$10,657,680 "
Cost of Goods Sold,Advertising,USD,2013,Actuals,"($6,922,154)","($6,719,996)","($11,251,219)","($8,188,535)","($10,753,091)","($5,620,387)","($11,674,472)","($9,402,231)","($9,847,130)","($10,592,169)","($8,170,720)","($4,761,146)"
Commissions Expense,Advertising,USD,2013,Actuals,"($744,189)","($684,446)","($1,135,391)","($740,206)","($1,056,537)","($587,577)","($1,154,625)","($1,015,469)","($919,043)","($1,130,498)","($705,547)","($447,074)"
Payroll Expense,Advertising,USD,2013,Actuals,"($1,820,008)","($1,643,381)","($3,339,938)","($2,236,128)","($2,909,989)","($1,461,544)","($2,630,917)","($2,736,210)","($2,555,554)","($2,554,023)","($1,729,230)","($1,183,866)"
Travel & Entertainment Expense,Advertising,USD,2013,Actuals,"($161,575)","($187,636)","($282,811)","($221,047)","($254,049)","($144,005)","($246,538)","($255,904)","($221,757)","($282,216)","($207,965)","($107,626)"
R&D Expense,Advertising,USD,2013,Actuals,"($741,256)","($734,801)","($1,121,189)","($847,064)","($1,076,637)","($581,037)","($1,155,733)","($1,140,205)","($928,524)","($1,022,458)","($732,828)","($507,909)"
Consulting Expense,Advertising,USD,2013,Actuals,"($938,436)","($936,828)","($1,631,024)","($1,004,574)","($1,256,873)","($602,967)","($1,434,455)","($1,308,212)","($1,228,204)","($1,541,439)","($1,029,014)","($547,052)"
Software/Hardware Expense,Advertising,USD,2013,Actuals,"($1,135,946)","($1,337,432)","($2,176,367)","($1,388,676)","($1,972,095)","($935,781)","($1,810,962)","($1,913,852)","($1,681,821)","($1,985,257)","($1,268,727)","($853,915)"
Marketing Expense,Advertising,USD,2013,Actuals,"($323,989)","($329,938)","($540,940)","($428,900)","($480,921)","($296,470)","($569,490)","($545,708)","($522,167)","($517,041)","($375,439)","($255,120)"
Sales,Hardware,USD,2013,Actuals,"$19,509,973 ","$17,256,060 ","$30,532,260 ","$29,272,946 ","$29,336,567 ","$20,351,396 ","$28,675,099 ","$33,553,477 ","$34,517,495 ","$26,255,937 ","$30,608,966 ","$18,118,056 "
Cost of Goods Sold,Hardware,USD,2013,Actuals,"($8,150,515)","($8,450,170)","($14,161,620)","($11,982,699)","($14,251,244)","($9,764,566)","($13,601,224)","($16,479,944)","($15,769,647)","($11,713,786)","($13,808,185)","($7,671,352)"
Commissions Expense,Hardware,USD,2013,Actuals,"($918,940)","($807,370)","($1,441,691)","($1,189,856)","($1,441,481)","($992,324)","($1,184,148)","($1,395,247)","($1,624,531)","($1,309,585)","($1,271,473)","($888,159)"
Payroll Expense,Hardware,USD,2013,Actuals,"($1,978,540)","($2,042,733)","($3,640,742)","($3,022,060)","($3,103,005)","($2,469,981)","($3,153,289)","($3,620,396)","($4,017,528)","($2,657,392)","($3,428,688)","($2,234,769)"
Travel & Entertainment Expense,Hardware,USD,2013,Actuals,"($226,737)","($177,057)","($348,448)","($348,912)","($340,324)","($233,884)","($339,323)","($346,782)","($416,320)","($265,196)","($350,713)","($191,961)"
R&D Expense,Hardware,USD,2013,Actuals,"($864,114)","($798,924)","($1,397,111)","($1,424,616)","($1,408,363)","($988,295)","($1,420,613)","($1,550,303)","($1,530,986)","($1,291,985)","($1,244,998)","($880,628)"
Consulting Expense,Hardware,USD,2013,Actuals,"($985,386)","($1,024,168)","($1,624,588)","($1,566,421)","($1,513,745)","($1,168,867)","($1,433,907)","($1,760,511)","($1,764,055)","($1,576,381)","($1,568,287)","($1,109,268)"
Software/Hardware Expense,Hardware,USD,2013,Actuals,"($1,643,593)","($1,410,736)","($2,420,767)","($2,153,538)","($2,533,689)","($1,741,008)","($2,146,318)","($2,517,357)","($2,704,417)","($2,028,595)","($2,603,838)","($1,295,382)"
Marketing Expense,Hardware,USD,2013,Actuals,"($448,703)","($383,620)","($615,643)","($713,736)","($716,076)","($430,361)","($707,885)","($733,111)","($799,880)","($586,058)","($621,736)","($422,427)"
Sales,Software,USD,2014,Actuals,"$73,003,216 ","$67,583,964 ","$96,747,422 ","$54,707,115 ","$53,295,086 ","$73,831,265 ","$60,633,129 ","$67,453,237 ","$98,780,894 ","$52,687,090 ","$71,258,255 ","$83,507,400 "
Cost of Goods Sold,Software,USD,2014,Actuals,"($35,434,154)","($33,276,599)","($46,411,721)","($25,228,351)","($24,803,966)","($34,794,166)","($25,081,587)","($32,657,990)","($47,301,412)","($23,190,677)","($33,853,415)","($41,071,028)"
Commissions Expense,Software,USD,2014,Actuals,"($3,225,544)","($3,006,614)","($4,716,518)","($2,637,046)","($2,192,406)","($3,440,909)","($2,564,854)","($3,195,750)","($4,621,559)","($2,594,599)","($3,474,868)","($3,954,659)"
Payroll Expense,Software,USD,2014,Actuals,"($8,214,482)","($6,991,832)","($9,881,604)","($6,021,642)","($5,967,905)","($8,792,535)","($6,362,428)","($7,854,754)","($10,736,101)","($6,185,030)","($8,422,442)","($8,853,593)"
Travel & Entertainment Expense,Software,USD,2014,Actuals,"($812,381)","($823,867)","($1,084,164)","($547,555)","($657,107)","($785,991)","($693,944)","($790,029)","($1,063,936)","($528,306)","($837,702)","($949,150)"
R&D Expense,Software,USD,2014,Actuals,"($3,200,785)","($3,236,733)","($4,576,715)","($2,677,342)","($2,564,086)","($3,201,135)","($2,673,923)","($2,759,863)","($4,136,323)","($2,161,622)","($2,908,571)","($3,459,881)"
Consulting Expense,Software,USD,2014,Actuals,"($4,510,094)","($4,148,358)","($5,977,214)","($2,757,866)","($2,721,806)","($3,827,683)","($3,316,938)","($3,803,865)","($5,738,434)","($3,196,559)","($3,787,807)","($4,251,787)"
Software/Hardware Expense,Software,USD,2014,Actuals,"($5,157,077)","($4,893,590)","($7,177,731)","($4,525,995)","($3,788,018)","($5,727,447)","($5,302,649)","($5,621,094)","($7,901,949)","($4,053,787)","($5,484,871)","($5,860,902)"
Marketing Expense,Software,USD,2014,Actuals,"($1,561,407)","($1,626,403)","($2,267,623)","($1,199,024)","($1,272,883)","($1,678,802)","($1,497,786)","($1,414,558)","($2,426,938)","($1,075,041)","($1,500,397)","($1,915,308)"
Sales,Advertising,USD,2014,Actuals,"$18,250,804 ","$14,868,472 ","$28,056,752 ","$14,223,850 ","$13,323,772 ","$14,766,253 ","$16,977,276 ","$16,188,777 ","$29,634,268 ","$11,064,289 ","$19,952,311 ","$20,041,776 "
Cost of Goods Sold,Advertising,USD,2014,Actuals,"($7,843,283)","($6,796,938)","($12,240,526)","($6,869,228)","($5,372,673)","($6,236,231)","($7,200,608)","($6,556,026)","($13,129,869)","($4,676,077)","($9,364,018)","($9,803,799)"
Commissions Expense,Advertising,USD,2014,Actuals,"($883,645)","($676,768)","($1,122,338)","($683,326)","($609,325)","($684,846)","($753,131)","($685,580)","($1,414,587)","($442,590)","($979,960)","($943,903)"
Payroll Expense,Advertising,USD,2014,Actuals,"($2,008,709)","($1,487,720)","($3,285,627)","($1,508,088)","($1,391,093)","($1,775,032)","($2,004,898)","($1,838,656)","($3,448,390)","($1,361,565)","($2,442,401)","($2,495,975)"
Travel & Entertainment Expense,Advertising,USD,2014,Actuals,"($219,648)","($183,425)","($341,821)","($173,916)","($154,994)","($154,234)","($197,334)","($175,394)","($313,187)","($112,737)","($237,479)","($203,441)"
R&D Expense,Advertising,USD,2014,Actuals,"($878,705)","($691,557)","($1,382,445)","($644,432)","($585,524)","($704,915)","($777,313)","($745,066)","($1,466,348)","($520,870)","($799,241)","($926,859)"
Consulting Expense,Advertising,USD,2014,Actuals,"($1,101,772)","($896,778)","($1,443,616)","($741,177)","($698,199)","($899,590)","($965,921)","($952,907)","($1,522,010)","($581,521)","($1,167,492)","($1,042,503)"
Software/Hardware Expense,Advertising,USD,2014,Actuals,"($1,592,251)","($1,260,716)","($2,347,593)","($1,012,501)","($1,124,904)","($1,261,974)","($1,354,606)","($1,335,325)","($2,087,610)","($780,627)","($1,615,540)","($1,677,444)"
Marketing Expense,Advertising,USD,2014,Actuals,"($451,604)","($299,487)","($598,692)","($290,908)","($275,494)","($315,325)","($362,086)","($403,555)","($723,809)","($246,577)","($423,325)","($404,866)"
Sales,Hardware,USD,2014,Actuals,"$25,551,126 ","$27,033,586 ","$35,796,546 ","$18,053,348 ","$17,054,428 ","$27,317,568 ","$18,796,270 ","$20,235,971 ","$32,597,695 ","$20,547,965 ","$28,503,302 ","$33,402,960 "
Cost of Goods Sold,Hardware,USD,2014,Actuals,"($12,281,785)","($11,806,223)","($16,195,590)","($8,716,303)","($7,594,755)","($12,346,026)","($8,571,654)","($8,792,279)","($13,697,258)","($9,660,014)","($12,192,298)","($13,616,846)"
Commissions Expense,Hardware,USD,2014,Actuals,"($1,071,411)","($1,096,480)","($1,629,789)","($758,301)","($754,325)","($1,304,916)","($823,868)","($817,673)","($1,590,942)","($938,741)","($1,163,913)","($1,561,563)"
Payroll Expense,Hardware,USD,2014,Actuals,"($2,862,315)","($2,916,140)","($3,680,507)","($2,237,785)","($2,017,248)","($2,969,483)","($1,933,361)","($2,483,806)","($3,462,148)","($2,092,959)","($3,143,791)","($3,950,404)"
Travel & Entertainment Expense,Hardware,USD,2014,Actuals,"($295,032)","($281,721)","($360,010)","($215,094)","($177,449)","($277,921)","($210,549)","($251,945)","($394,839)","($241,749)","($339,129)","($403,062)"
R&D Expense,Hardware,USD,2014,Actuals,"($1,184,703)","($1,206,612)","($1,706,514)","($787,069)","($719,494)","($1,217,784)","($802,138)","($1,010,960)","($1,342,224)","($929,984)","($1,347,763)","($1,538,947)"
Consulting Expense,Hardware,USD,2014,Actuals,"($1,396,550)","($1,412,122)","($1,960,177)","($1,021,805)","($1,016,393)","($1,460,281)","($1,158,758)","($1,212,490)","($1,926,307)","($1,095,283)","($1,655,140)","($2,087,346)"
Software/Hardware Expense,Hardware,USD,2014,Actuals,"($2,055,703)","($1,910,219)","($2,832,136)","($1,380,565)","($1,364,825)","($2,260,644)","($1,615,169)","($1,655,450)","($2,372,522)","($1,789,944)","($2,194,746)","($2,825,224)"
Marketing Expense,Hardware,USD,2014,Actuals,"($551,509)","($553,460)","($858,779)","($444,914)","($346,671)","($561,327)","($421,945)","($459,673)","($699,116)","($436,835)","($646,474)","($790,325)"
Sales,Software,USD,2015,Actuals,"$56,564,696 ","$53,003,500 ","$57,123,654 ","$51,517,884 ","$86,240,365 ","$83,822,589 ","$99,534,990 ","$56,551,959 ","$75,595,351 ","$87,960,046 ","$75,992,432 ","$87,753,553 "
Cost of Goods Sold,Software,USD,2015,Actuals,"($26,025,524)","($24,023,570)","($23,452,691)","($24,109,262)","($38,340,811)","($34,138,458)","($48,369,463)","($26,510,883)","($31,307,040)","($36,132,005)","($37,770,955)","($35,668,763)"
Commissions Expense,Software,USD,2015,Actuals,"($2,693,681)","($2,344,026)","($2,342,553)","($2,075,015)","($3,959,339)","($3,442,089)","($4,021,826)","($2,656,419)","($3,439,053)","($3,864,192)","($3,553,160)","($4,368,917)"
Payroll Expense,Software,USD,2015,Actuals,"($6,107,421)","($5,810,585)","($7,021,257)","($6,051,373)","($10,773,242)","($9,081,939)","($10,994,327)","($6,548,834)","($7,861,085)","($9,613,130)","($9,183,322)","($9,278,911)"
Travel & Entertainment Expense,Software,USD,2015,Actuals,"($587,893)","($545,279)","($588,026)","($545,095)","($985,449)","($855,026)","($1,098,610)","($701,066)","($809,897)","($1,016,017)","($880,356)","($987,089)"
R&D Expense,Software,USD,2015,Actuals,"($2,724,738)","($2,462,961)","($2,377,917)","($2,391,429)","($4,192,334)","($3,632,483)","($3,981,861)","($2,692,169)","($3,621,911)","($3,866,225)","($3,114,375)","($3,960,801)"
